,Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,lastTransfer,agentsTransfer
0,1985.5,0,0,1,435573,,European Paintings,1985.0,Painting,Flora and Zephyr,,,,,,16159,Artist, ,Jacopo Amigoni,"Italian, Venice 1682–1752 Madrid", ,"Amigoni, Jacopo",Italian,1682      ,1752      ,,http://vocab.getty.edu/page/ulan/500016473,https://www.wikidata.org/wiki/Q380897,1730s,1730,1739,Oil on canvas,84 x 58 in. (213.4 x 147.3 cm),"Purchase, Rudolph and Lentilhon G. von Fluegge Foundation Inc. Gift, 1985",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435573,https://www.wikidata.org/wiki/Q19912099,,"Metropolitan Museum of Art, New York, NY",Goddess|Putti|Flowers|Landscapes,http://vocab.getty.edu/page/aat/300343852|http://vocab.getty.edu/page/aat/300250465|http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q205985|https://www.wikidata.org/wiki/Q284865|https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q191163,Purchase,Rudolph and Lentilhon G. von Fluegge Foundation Inc.
1,12.6,0,0,1,435574,,European Paintings,1912.0,"Painting, predella panel",The Crucifixion,,,,,,16601,Artist, ,Andrea di Bartolo,"Italian, Siena, active by 1389–died 1428 Siena", ,Andrea di Bartolo,Italian,1389      ,1428      ,,http://vocab.getty.edu/page/ulan/500024770,https://www.wikidata.org/wiki/Q390098,,1389,1428,"Tempera on wood, gold ground",20 3/4 x 38 1/2 in. (52.7 x 97.8 cm),"Rogers Fund, 1912",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435574,https://www.wikidata.org/wiki/Q19905919,,"Metropolitan Museum of Art, New York, NY",Soldiers|Men|Crucifixion|Horses|Mountains|Angels|Christ|Virgin Mary,http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q345,Purchase,Rogers Fund
2,42.53.2,0,0,1,435575,,European Paintings,1942.0,"Painting, miniature","Jérôme Bonaparte (1784–1860), King of Westphalia",,,,,,10864,Artist, ,Giacomo Andreoli,"Italian, active ca. 1808", ,"Andreoli, Giacomo",Italian,1808      ,1808      ,,(not assigned),https://www.wikidata.org/wiki/Q22094536,,1803,1813,Ivory,2 3/8 x 1 7/8 in. (60 x 48 mm),"Gift of Helen O. Brice, 1942",,,,,,,,,,,,Miniatures,,http://www.metmuseum.org/art/collection/search/435575,https://www.wikidata.org/wiki/Q19913805,,"Metropolitan Museum of Art, New York, NY",Kings|Men|Portraits,http://vocab.getty.edu/page/aat/300025481|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q12097|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307,Gift,Helen O. Brice
3,1991.27.2,0,1,1,435576,624.0,European Paintings,1991.0,Painting,Saint Alexander,,,,,,16161,Artist, ,Fra Angelico (Guido di Pietro),"Italian, Vicchio di Mugello ca. 1395–1455 Rome", ,"Angelico, Fra (Guido di Pietro)",Italian,1395      ,1455      ,,http://vocab.getty.edu/page/ulan/500029319,https://www.wikidata.org/wiki/Q5664,ca. 1425,1420,1430,"Tempera on wood, gold ground",Overall 6 1/4 x 6 1/8 in. (15.9 x 15.6 cm); diameter of roundel 5 7/8 in. (14.9 cm),"Bequest of Lucy G. Moses, 1990",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435576,https://www.wikidata.org/wiki/Q19912513,,"Metropolitan Museum of Art, New York, NY",Bishops|Croziers|Miter,http://vocab.getty.edu/page/aat/300025756|http://vocab.getty.edu/page/aat/300212149|http://vocab.getty.edu/page/aat/300212995,https://www.wikidata.org/wiki/Q29182|https://www.wikidata.org/wiki/Q506002|https://www.wikidata.org/wiki/Q193888,Bequest,Lucy G. Moses
4,14.40.628,0,1,1,435577,,European Paintings,1914.0,Painting,The Crucifixion,,,,,,16161,Artist, ,Fra Angelico (Guido di Pietro),"Italian, Vicchio di Mugello ca. 1395–1455 Rome", ,"Angelico, Fra (Guido di Pietro)",Italian,1395      ,1455      ,,http://vocab.getty.edu/page/ulan/500029319,https://www.wikidata.org/wiki/Q5664,possibly ca. 1440,1435,1445,"Tempera transferred to canvas, laid down on wood, gold ground",13 3/8 x 19 3/4 in. (34 x 50.2 cm); set in panel 15 3/4 x 21 1/4 in. (40 x 54 cm),"Bequest of Benjamin Altman, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435577,https://www.wikidata.org/wiki/Q19905200,,"Metropolitan Museum of Art, New York, NY",Crucifixion|Saints|Mary Magdalene|Saint Francis|Christ,http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/aat/300150555|http://vocab.getty.edu/page/ia/901000161|http://vocab.getty.edu/page/ulan/500349636|http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q43115|https://www.wikidata.org/wiki/Q63070|https://www.wikidata.org/wiki/Q676555|https://www.wikidata.org/wiki/Q642420,Bequest,Benjamin Altman
5,1983.490,0,1,1,435578,,European Paintings,1983.0,Painting,The Nativity,,,,,,16248,Artist,Attributed to,Zanobi Strozzi,"Italian, Florence 1412–1468 Florence", ,"Strozzi, Zanobi",Italian,1412      ,1468      ,,http://vocab.getty.edu/page/ulan/500003966,https://www.wikidata.org/wiki/Q1284002,ca. 1433–34,1433,1434,Tempera and gold on wood,7 3/8 x 17 1/8 in. (18.7 x 43.5 cm),"Gift of May Dougherty King, 1983",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435578,https://www.wikidata.org/wiki/Q19912096,,"Metropolitan Museum of Art, New York, NY",Nativity|Cows|Donkeys|Joseph|Angels|Christ|Virgin Mary,http://vocab.getty.edu/page/ia/901000124|http://vocab.getty.edu/page/aat/300250120|http://vocab.getty.edu/page/aat/300265959|http://vocab.getty.edu/page/ia/901000953|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q51628|https://www.wikidata.org/wiki/Q830|https://www.wikidata.org/wiki/Q3537778|https://www.wikidata.org/wiki/Q128267|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q345,Gift,May Dougherty King
6,24.22,0,1,1,435579,,European Paintings,1924.0,Painting,The Nativity,,,,,,16248,Artist, ,Zanobi Strozzi,"Italian, Florence 1412–1468 Florence", ,"Strozzi, Zanobi",Italian,1412      ,1468      ,,http://vocab.getty.edu/page/ulan/500003966,https://www.wikidata.org/wiki/Q1284002,,1417,1455,Tempera and gold on wood,"Overall, with engaged frame, 15 1/4 x 11 1/2 in. (38.7 x 29.2 cm); painted surface 13 x 9 1/8 in. (33 x 23.2 cm)","Rogers Fund, 1924",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435579,https://www.wikidata.org/wiki/Q19912359,,"Metropolitan Museum of Art, New York, NY",Jesus|Nativity|Cows|Donkeys|Angels|Joseph|Virgin Mary,http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/ia/901000124|http://vocab.getty.edu/page/aat/300250120|http://vocab.getty.edu/page/aat/300265959|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000953|http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q51628|https://www.wikidata.org/wiki/Q830|https://www.wikidata.org/wiki/Q3537778|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q128267|https://www.wikidata.org/wiki/Q345,Purchase,Rogers Fund
7,32.100.82,0,1,1,435580,603.0,European Paintings,1932.0,Painting,Christ Crowned with Thorns,,,,,,10731,Artist, ,Antonello da Messina (Antonello di Giovanni d'Antonio),"Italian, Messina ca. 1430–1479 Messina", ,Antonello da Messina (Antonello di Giovanni d'Antonio),Italian,1430      ,1479      ,,http://vocab.getty.edu/page/ulan/500007324,https://www.wikidata.org/wiki/Q5594,,1450,1479,"Oil, possibly over tempera, on wood",16 3/4 x 12 in. (42.5 x 30.5 cm),"The Friedsam Collection, Bequest of Michael Friedsam, 1931",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435580,https://www.wikidata.org/wiki/Q19911551,,"Metropolitan Museum of Art, New York, NY",Christ,http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q642420,Collection,Michael Friedsam
8,14.40.645,0,1,1,435581,602.0,European Paintings,1914.0,Painting,Portrait of a Young Man,,,,,,10731,Artist, ,Antonello da Messina (Antonello di Giovanni d'Antonio),"Italian, Messina ca. 1430–1479 Messina", ,Antonello da Messina (Antonello di Giovanni d'Antonio),Italian,1430      ,1479      ,,http://vocab.getty.edu/page/ulan/500007324,https://www.wikidata.org/wiki/Q5594,ca. 1470,1465,1475,Oil on wood,10 5/8 x 8 1/8 in. (27 x 20.6 cm),"Bequest of Benjamin Altman, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435581,https://www.wikidata.org/wiki/Q19911579,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307,Bequest,Benjamin Altman
9,41.190.9,0,0,1,435583,,European Paintings,1941.0,Painting,Madonna and Child,,,,,,10731,Artist, ,Antoniazzo Romano (Antonio di Benedetto Aquilio),"Italian, Rome 1435/40–1508 Rome", ,Antoniazzo Romano (Antonio di Benedetto Aquilio),Italian,1435      ,1508      ,,http://vocab.getty.edu/page/ulan/500031194,https://www.wikidata.org/wiki/Q598649,,1452,1512,"Tempera on wood, gold ground",Overall 14 7/8 x 10 3/4 in. (37.8 x 27.3 cm); painted surface 14 1/8 x 10 1/8 in. (35.9 x 25.7 cm),"Bequest of George Blumenthal, 1941",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435583,https://www.wikidata.org/wiki/Q19912092,,"Metropolitan Museum of Art, New York, NY",Madonna and Child|Nursing,http://vocab.getty.edu/page/ia/901000052|http://vocab.getty.edu/page/aat/300379905,https://www.wikidata.org/wiki/Q9309699|https://www.wikidata.org/wiki/Q174876,Bequest,George Blumenthal
